Day,PERD_GR,TR1_Corr_N,TR1_Pot_att,TR1_cosFi,TR2_Corr_N,TR2_Pot_att,TR2_cosFi,TR3_Corr_N,TR3_Pot_att,TR3_cosFi
2022-01-06,0.5070294743079816,-1.6000950090809478,-1.2925984833431323,0.6465689732136972,-2.4496171942493876,-2.3900890049249988,-2.4856126778934065,2.370579947229095,2.5639192716570136,2.4981326598856226
2022-01-07,0.4620595245287324,-1.6969963270327897,-1.7601982468466753,0.6031585166811431,-2.4496171942493876,-2.3900890049249988,-2.4856126778934065,2.3872371377775043,2.4788085010830176,2.4852750507042702
2022-01-08,0.4469372101378918,-1.6000950090809478,-1.9786923664386642,0.6665747832113678,-2.4496171942493876,-2.3900890049249988,-2.4856126778934065,2.341380872032472,2.468521938152813,2.489889864375015
2022-01-09,0.3519967236918852,-1.8035877767798172,-2.2120150343132106,0.39421611613559127,-2.4496171942493876,-2.3900890049249988,-2.4856126778934065,2.3343260619178516,2.41764515393045,2.489911342896088
2022-01-10,0.1795812925149021,-1.498348625231513,-1.863998084824587,0.14410046791746328,-2.4496171942493876,-2.3900890049249988,-2.4856126778934065,2.4895318844395,2.4748467842788173,2.4683008823355483
2022-01-11,-0.017090683217621146,-1.0380673649602616,-1.6772794258380828,-0.06791809481051174,-2.4496171942493876,-2.3900890049249988,-2.4856126778934065,2.5442066628278073,2.544281084057698,2.467420262971517
2022-01-12,0.12983733944848908,-1.1398137488096962,-1.685450258565207,0.19686848073925237,-2.4496171942493876,-2.3900890049249988,-2.4856126778934065,2.5071689097260506,2.5568612725061235,2.47270704751586
2022-01-13,0.025515844734351648,-1.0671377603458143,-1.9272463826012145,0.01845107415792375,-2.4496171942493876,-2.3900890049249988,-2.4856126778934065,2.5036415046687406,2.554011616559243,2.4866189924514686
2022-01-14,0.00503568048573211,-0.868490058544536,-1.4563643187713908,0.027206304984845876,-2.4496171942493876,-2.3900890049249988,-2.4856126778934065,2.4939411407611374,2.572082605490683,2.473566188358818
2022-01-15,0.4262326166497672,-1.2948558575326437,-1.4799689466497497,0.6227986290766745,-2.4496171942493876,-2.3900890049249988,-2.4856126778934065,2.472776710417276,2.5533165785234178,2.4977387296474642
2022-01-16,0.41075232593627686,-1.4838134275387367,-1.506902432305825,0.5326434143452534,-2.4496171942493876,-2.3900890049249988,-2.4856126778934065,2.3969375016851076,2.4966709786037105,2.489862249133634
2022-01-17,0.2771528109433351,-1.2221798690687617,-1.314736551501238,0.3644010057519717,-2.4496171942493876,-2.3900890049249988,-2.4856126778934065,2.443675618694467,2.556930776309706,2.485545066397772
2022-01-18,0.3132479681443777,-1.28516572573746,-1.911509964015643,0.4372823866897222,-2.4496171942493876,-2.3900890049249988,-2.4856126778934065,2.4092834193856927,2.463239649080546,2.5060509173030803
2022-01-19,0.38673293439218137,-1.6146302067737242,-1.7865264856340755,0.41480273997190004,-2.4496171942493876,-2.3900890049249988,-2.4856126778934065,2.430447849729554,2.518495172928604,2.507572823939177
2022-01-20,0.12099533884290692,-1.2076446713759854,-1.9193781733084287,0.11357547395328135,-2.4496171942493876,-2.3900890049249988,-2.4856126778934065,2.54332481156348,2.514741967535151,2.4858580391334204
2022-01-21,-0.03291452293806099,-0.8539548608517596,-1.677884672706758,-0.06294890974657515,-2.4496171942493876,-2.3900890049249988,-2.4856126778934065,2.54685221662079,2.5000766649792516,2.475646536542837
2022-01-22,0.3313869854365595,-1.2221798690687617,-1.7468828157358067,0.5006986532199468,-2.4496171942493876,-2.3900890049249988,-2.4856126778934065,2.44632117248745,2.4930567808174224,2.4972324502221497
2022-01-23,0.006972520466218608,-1.1640390782976564,-1.9723372743175676,-0.025561707836943205,-2.4496171942493876,-2.3900890049249988,-2.4856126778934065,2.519514827426636,2.44669774382792,2.4594793468944642
2022-01-24,0.11551237745171519,-1.1301236170145108,-1.9681005462368355,0.19686848073925237,-2.4496171942493876,-2.3900890049249988,-2.4856126778934065,2.5644892419073413,2.448782857935394,2.460743511277674
2022-01-25,0.3117045920798738,-1.246405198556722,-1.7275149159381784,0.4484038961185464,-2.4496171942493876,-2.3900890049249988,-2.4856126778934065,2.4824770743248794,2.4548991926506503,2.4856555273632948
2022-01-26,-0.9910209197123208,-1.2997009234302364,-2.0177307894682577,-2.0629275840509456,-2.4496171942493876,-2.3900890049249988,-2.4856126778934065,2.4031104605354003,2.510988762141698,2.4475741094991936
2022-01-27,0.17239705820430254,-1.0380673649602616,-1.9596270900753745,0.3476004276786898,-2.4496171942493876,-2.3900890049249988,-2.4856126778934065,2.5750714570792717,2.622055840266474,2.488822075041625
2022-01-28,0.16000872914922198,-1.0186871013698926,-1.9075758593692493,0.33174636104610267,-2.4496171942493876,-2.3900890049249988,-2.4856126778934065,2.554788877999738,2.5646456985073596,2.479245723002799
2022-01-29,0.42357910913790425,-1.5758696795929876,-1.7229755644231095,0.5532300381815622,-2.4496171942493876,-2.3900890049249988,-2.4856126778934065,2.444557469958795,2.5111972735524453,2.4890123133711364
2022-01-30,0.3528738348379991,-1.1834193418880254,-1.2045816214022298,0.5118201626487711,-2.4496171942493876,-2.3900890049249988,-2.4856126778934065,2.4613126439810182,2.5397633368248376,2.4827774055393856
2022-01-31,0.14787859460292518,-0.868490058544536,-1.4527328375593356,0.2508196328619925,-2.4496171942493876,-2.3900890049249988,-2.4856126778934065,2.5600799855857033,2.532743452663009,2.4815715399990914
2022-02-01,0.23001605719397533,-0.752208477002325,-0.7279497123199848,0.33884519685172637,-2.4496171942493876,-2.3900890049249988,-2.4856126778934065,2.54332481156348,2.5430300155932137,2.4791996976004977
2022-02-02,0.06447492815427201,-0.7182930157191812,-0.8302364331262074,0.08139408496780101,-2.4496171942493876,-2.3900890049249988,-2.4856126778934065,2.596235887423133,2.6073210339069917,2.4677270989868583
2022-02-03,0.14518234426853638,-1.193109473683209,-1.031783640395271,0.03809118655349643,-2.4496171942493876,-2.3900890049249988,-2.4856126778934065,2.5909447798371676,2.561448523542566,2.468107575645883
2022-02-04,0.043172345442562744,-0.6213916977673376,-1.1446621814033189,0.11665163613570452,-2.4496171942493876,-2.3900890049249988,-2.4856126778934065,2.704703592935421,2.6346360287148998,2.469825857331798
2022-02-05,0.2519578499044443,-1.0816729580385906,-0.9412992335282278,0.26383416517233016,-2.4496171942493876,-2.3900890049249988,-2.4856126778934065,2.6491469632827855,2.540875397682157,2.467828354871921
2022-02-06,0.49300710636897044,-1.2076446713759854,-1.3459067652380456,0.7356701183860913,-2.4496171942493876,-2.3900890049249988,-2.4856126778934065,2.642974004432493,2.553803105148495,2.489018450091443
2022-02-07,0.2095471446970008,-1.0816729580385906,-1.1131893442321745,0.18976964493362866,-2.4496171942493876,-2.3900890049249988,-2.4856126778934065,2.6747206499482847,2.5640896680787,2.4748395578224875
2022-02-08,0.19764058883842736,-0.863644992646945,-1.1546487547364708,0.32512078096086766,-2.4496171942493876,-2.3900890049249988,-2.4856126778934065,2.5556707292640657,2.59175218190452,2.481117422696386
2022-02-09,0.18800225892663205,-1.2270249349663545,-1.0487305527181947,0.1275365177043551,-2.4496171942493876,-2.3900890049249988,-2.4856126778934065,2.530978893862894,2.597173478583952,2.4771438962977057
2022-02-10,0.2657411233496548,-0.7328282134119576,-0.908615902619731,0.447694012537984,-2.4496171942493876,-2.3900890049249988,-2.4856126778934065,2.369600112490953,2.562491080596303,2.5077109001460807
2022-02-11,-0.0028664286733931367,-0.1901808328816388,-0.6843719377753225,0.09488187299848605,-2.4496171942493876,-2.3900890049249988,-2.4856126778934065,2.4330934035225367,2.5182866615178567,2.4950447094327615
2022-02-12,0.12365279722352253,-0.4324341277612446,-0.9225365805992765,0.24868998212030538,-2.4496171942493876,-2.3900890049249988,-2.4856126778934065,2.3995830554780904,2.3808081380317447,2.4918781617544314
2022-02-13,0.2752075654533299,-0.7425183452071413,-1.296579145440962,0.4921800502531984,-2.4496171942493876,-2.3900890049249988,-2.4856126778934065,2.357254194790368,2.3902606553189596,2.500230238092041
